000002 万 科Ａ 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1991/01/29	14.58	14.58	14.58	14.58	300	22000.00
1991/01/30	14.51	14.51	14.51	14.51	1700	123000.00
1991/02/02	14.59	14.59	14.59	14.59	1300	95000.00
1991/02/04	14.66	14.66	14.66	14.66	5600	410000.00
1991/02/05	14.73	14.73	14.73	14.73	2900	213000.00
1991/02/06	14.80	14.80	14.80	14.80	2900	215000.00
1991/02/07	14.87	14.87	14.87	14.87	4800	357000.00
1991/02/08	14.94	14.94	14.94	14.94	6600	493000.00
1991/02/09	15.01	15.01	15.01	15.01	13600	1021000.00
1991/02/11	15.09	15.09	15.09	15.09	3300	249000.00
1991/02/12	15.07	15.07	15.07	15.07	23600	1778000.00
1991/02/13	15.25	15.25	15.25	15.25	3300	252000.00
1991/02/22	15.33	15.33	15.33	15.33	11600	889000.00
1991/02/23	15.41	15.41	15.41	15.41	12700	978000.00
1991/02/25	15.33	15.33	15.33	15.33	41000	3143000.00
1991/02/26	15.25	15.25	15.25	15.25	10000	762000.00
1991/02/27	15.17	15.17	15.17	15.17	25800	1957000.00
1991/02/28	15.09	15.09	15.09	15.09	4600	347000.00
1991/03/01	15.01	15.01	15.01	15.01	2800	210000.00
1991/03/02	14.03	14.03	14.03	14.03	1800	126000.00
1991/03/04	14.86	14.86	14.86	14.86	3000	222000.00
1991/03/05	14.79	14.79	14.79	14.79	2200	163000.00
1991/03/06	14.72	14.72	14.72	14.72	2100	154000.00
1991/03/07	14.65	14.65	14.65	14.65	500	37000.00
1991/03/08	14.58	14.58	14.58	14.58	1000	73000.00
1991/03/09	14.51	14.51	14.51	14.51	400	29000.00
1991/03/11	14.44	14.44	14.44	14.44	1500	108000.00
1991/03/12	14.37	14.37	14.37	14.37	1300	93000.00
1991/03/13	14.30	14.30	14.30	14.30	3900	279000.00
1991/03/14	14.23	14.23	14.23	14.23	3200	228000.00
1991/03/15	14.16	14.16	14.16	14.16	1300	92000.00
1991/03/16	14.09	14.09	14.09	14.09	800	56000.00
1991/03/18	14.02	14.02	14.02	14.02	2600	182000.00
1991/03/19	13.95	13.95	13.95	13.95	1500	105000.00
1991/03/20	13.88	13.88	13.88	13.88	1900	132000.00
1991/03/21	13.81	13.81	13.81	13.81	1200	83000.00
1991/03/22	13.74	13.74	13.74	13.74	1000	69000.00
